,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
0,Astley Bridge,E05000650,"5,962",529,8.9,"1,863",31.2,"2,438",40.9,"1,132",19.0,"1,935",32.5,"2,410",40.4,"1,460",24.5,137,2.3,21,0.4,"1,202",20.2,"2,503",42.0,"1,732",29.1,525,8.8,"4,016",67.4,"1,554",26.1,392,6.6,85,1.4,47,0.8,428,7.2,15,0.3,"4,259",71.4,9,0.2,814,13.7,870,14.6,9,0.2,659,10.1,"1,006",15.5,915,14.1,746,11.5,318,4.9,48,0.7,35,0.5,39,0.6,"2,053",31.6,627,9.6,"1,426",21.9,"4,452",68.4,"3,891",59.8,561,8.6
1,Bradshaw,E05000651,"4,951",199,4.0,"1,280",25.9,"2,479",50.1,993,20.1,"2,151",43.4,"1,848",37.3,841,17.0,105,2.1,6,0.1,796,16.1,"2,045",41.3,"1,627",32.8,485,9.8,"3,238",65.4,"1,338",27.0,375,7.6,32,0.6,21,0.4,346,7.0,17,0.3,"3,896",78.7,14,0.3,663,13.4,375,7.6,5,0.1,289,6.0,859,17.8,679,14.1,640,13.3,182,3.8,22,0.5,24,0.5,33,0.7,"1,423",29.5,481,10.0,942,19.5,"3,402",70.5,"2,967",61.5,435,9.0
2,Breightmet,E05000652,"6,012",651,10.8,"1,877",31.2,"3,003",49.9,484,8.0,"1,574",26.2,"2,186",36.4,"1,969",32.8,249,4.1,34,0.6,"1,802",30.0,"2,518",41.9,"1,357",22.6,335,5.6,"3,502",58.3,"1,939",32.3,571,9.5,108,1.8,68,1.1,532,8.8,11,0.2,"3,272",54.4,7,0.1,"2,070",34.4,645,10.7,19,0.3,516,9.0,"1,456",25.4,687,12.0,697,12.2,155,2.7,32,0.6,38,0.7,55,1.0,"1,792",31.3,496,8.7,"1,296",22.6,"3,934",68.7,"3,540",61.8,394,6.9
3,Bromley Cross,E05000653,"5,963",276,4.6,"1,641",27.5,"2,423",40.6,"1,622",27.2,"2,657",44.6,"2,303",38.6,939,15.7,58,1.0,7,0.1,688,11.5,"2,474",41.5,"2,162",36.3,638,10.7,"4,279",71.8,"1,357",22.8,326,5.5,46,0.8,17,0.3,421,7.1,15,0.3,"4,914",82.4,26,0.4,261,4.4,761,12.8,2,0.0,442,6.6,867,12.9,"1,042",15.5,767,11.4,351,5.2,37,0.6,42,0.6,52,0.8,"1,813",27.0,587,8.7,"1,226",18.3,"4,898",73.0,"4,178",62.3,720,10.7
4,Crompton (Bolton),E05000654,"6,749",838,12.4,"2,933",43.5,"2,156",31.9,822,12.2,"1,102",16.3,"2,615",38.7,"2,388",35.4,492,7.3,152,2.3,"2,130",31.6,"3,062",45.4,"1,271",18.8,286,4.2,"4,395",65.1,"1,874",27.8,480,7.1,123,1.8,100,1.5,591,8.8,8,0.1,"3,265",48.4,17,0.3,"1,683",24.9,"1,757",26.0,27,0.4,"1,213",17.1,"1,163",16.4,900,12.7,844,11.9,353,5.0,54,0.8,39,0.6,72,1.0,"2,439",34.4,703,9.9,"1,736",24.5,"4,641",65.6,"4,236",59.8,405,5.7
5,Farnworth (Bolton),E05000655,"6,681",767,11.5,"2,416",36.2,"2,989",44.7,509,7.6,"1,340",20.1,"2,495",37.3,"2,391",35.8,376,5.6,79,1.2,"2,263",33.9,"2,903",43.5,"1,215",18.2,300,4.5,"3,943",59.0,"2,142",32.1,596,8.9,126,1.9,101,1.5,631,9.4,5,0.1,"3,129",46.8,46,0.7,"2,072",31.0,"1,417",21.2,17,0.3,"1,070",15.8,"1,391",20.6,921,13.6,726,10.7,187,2.8,59,0.9,28,0.4,49,0.7,"2,197",32.5,650,9.6,"1,547",22.9,"4,565",67.5,"4,068",60.2,497,7.3
6,Great Lever,E05000656,"5,767",922,16.0,"2,118",36.7,"1,931",33.5,796,13.8,847,14.7,"1,720",29.8,"2,296",39.8,609,10.6,294,5.1,"2,125",36.8,"2,433",42.2,893,15.5,316,5.5,"3,683",63.9,"1,665",28.9,419,7.3,119,2.1,143,2.5,553,9.6,15,0.3,"2,326",40.3,31,0.5,"1,685",29.2,"1,697",29.4,27,0.5,"1,292",21.0,"1,019",16.6,632,10.3,696,11.3,269,4.4,45,0.7,34,0.6,50,0.8,"2,550",41.5,715,11.6,"1,835",29.9,"3,597",58.5,"3,261",53.1,336,5.5
7,Halliwell,E05000657,"6,180","1,456",23.6,"2,605",42.2,"1,395",22.6,723,11.7,698,11.3,"1,829",29.6,"2,894",46.8,547,8.9,211,3.4,"2,857",46.2,"2,396",38.8,734,11.9,192,3.1,"3,739",60.5,"1,978",32.0,459,7.4,172,2.8,142,2.3,500,8.1,9,0.1,"1,913",30.9,20,0.3,"2,329",37.7,"1,890",30.6,32,0.5,"1,093",21.0,699,13.4,682,13.1,608,11.7,237,4.5,30,0.6,15,0.3,57,1.1,"2,037",39.1,594,11.4,"1,443",27.7,"3,179",60.9,"2,899",55.6,280,5.4
8,Harper Green,E05000658,"5,437",396,7.3,"1,204",22.1,"3,317",61.0,520,9.6,"1,406",25.9,"1,764",32.4,"1,716",31.6,378,7.0,173,3.2,"1,363",25.1,"2,353",43.3,"1,340",24.6,381,7.0,"3,363",61.9,"1,614",29.7,460,8.5,82,1.5,84,1.5,452,8.3,7,0.1,"3,063",56.3,39,0.7,"1,534",28.2,777,14.3,24,0.4,"1,156",18.9,"1,071",17.5,727,11.9,596,9.8,215,3.5,40,0.7,28,0.5,58,1.0,"2,181",35.7,573,9.4,"1,608",26.3,"3,922",64.3,"3,527",57.8,395,6.5
9,Heaton and Lostock,E05000659,"5,395",175,3.2,"1,036",19.2,"1,813",33.6,"2,371",43.9,"2,988",55.4,"1,595",29.6,676,12.5,105,1.9,32,0.6,567,10.5,"2,122",39.3,"2,016",37.4,690,12.8,"3,807",70.6,"1,281",23.7,307,5.7,45,0.8,32,0.6,366,6.8,23,0.4,"4,567",84.7,13,0.2,178,3.3,636,11.8,1,0.0,336,5.5,"1,213",19.9,587,9.6,663,10.9,360,5.9,53,0.9,34,0.6,66,1.1,"1,895",31.1,655,10.8,"1,240",20.4,"4,198",68.9,"3,484",57.2,714,11.7
10,Horwich North East,E05000661,"5,693",437,7.7,"1,569",27.6,"2,553",44.9,"1,133",19.9,"2,321",40.8,"2,085",36.6,"1,182",20.8,95,1.7,9,0.2,"1,135",19.9,"2,365",41.5,"1,697",29.8,495,8.7,"3,690",64.8,"1,602",28.1,401,7.0,56,1.0,35,0.6,462,8.1,24,0.4,"3,902",68.5,18,0.3,951,16.7,813,14.3,9,0.2,657,10.8,498,8.2,"1,158",19.1,626,10.3,346,5.7,69,1.1,31,0.5,61,1.0,"1,694",27.9,558,9.2,"1,136",18.7,"4,377",72.1,"3,829",63.1,548,9.0
11,Horwich and Blackrod,E05000660,"6,464",424,6.6,"2,084",32.2,"2,767",42.8,"1,189",18.4,"2,313",35.8,"2,687",41.6,"1,346",20.8,114,1.8,6,0.1,"1,165",18.0,"2,881",44.6,"1,934",29.9,484,7.5,"4,364",67.5,"1,662",25.7,438,6.8,72,1.1,26,0.4,513,7.9,22,0.3,"4,473",69.2,30,0.5,763,11.8,"1,193",18.5,5,0.1,664,9.2,683,9.4,"1,229",17.0,908,12.5,504,7.0,111,1.5,34,0.5,72,1.0,"1,902",26.3,578,8.0,"1,324",18.3,"5,334",73.7,"4,662",64.4,672,9.3
12,Hulton,E05000662,"5,880",543,9.2,"1,927",32.8,"2,443",41.5,967,16.4,"1,730",29.4,"2,176",37.0,"1,641",27.9,269,4.6,64,1.1,"1,369",23.3,"2,555",43.5,"1,520",25.9,436,7.4,"3,858",65.6,"1,580",26.9,442,7.5,77,1.3,76,1.3,486,8.3,6,0.1,"3,789",64.4,43,0.7,984,16.7,"1,051",17.9,13,0.2,619,9.9,"1,394",22.4,646,10.4,685,11.0,269,4.3,38,0.6,28,0.4,54,0.9,"2,012",32.3,553,8.9,"1,459",23.4,"4,216",67.7,"3,706",59.5,510,8.2
13,Kearsley,E05000663,"6,575",749,11.4,"2,121",32.3,"3,019",45.9,686,10.4,"1,882",28.6,"2,622",39.9,"1,857",28.2,198,3.0,17,0.3,"1,587",24.1,"2,970",45.2,"1,562",23.8,456,6.9,"4,338",66.0,"1,784",27.1,453,6.9,81,1.2,67,1.0,524,8.0,16,0.2,"4,116",62.6,32,0.5,"1,253",19.1,"1,157",17.6,19,0.3,632,9.0,"1,032",14.6,"1,360",19.3,963,13.6,216,3.1,70,1.0,18,0.3,62,0.9,"1,832",26.0,512,7.3,"1,320",18.7,"5,226",74.0,"4,602",65.2,624,8.8
14,Little Lever and Darcy Lever,E05000664,"5,602",391,7.0,"1,756",31.4,"2,699",48.2,755,13.5,"1,863",33.3,"2,269",40.5,"1,327",23.7,128,2.3,15,0.3,"1,051",18.8,"2,476",44.2,"1,590",28.4,486,8.7,"3,502",62.5,"1,642",29.3,458,8.2,66,1.2,43,0.8,422,7.5,22,0.4,"4,074",72.7,28,0.5,770,13.7,719,12.8,11,0.2,445,7.7,"1,227",21.2,815,14.1,724,12.5,202,3.5,43,0.7,22,0.4,46,0.8,"1,572",27.2,440,7.6,"1,132",19.6,"4,212",72.8,"3,679",63.6,533,9.2
15,Rumworth,E05000665,"5,822",630,10.8,"2,529",43.4,"1,853",31.8,815,14.0,784,13.5,"1,842",31.6,"2,202",37.8,758,13.0,236,4.1,"2,105",36.2,"2,607",44.8,839,14.4,271,4.7,"3,716",63.8,"1,662",28.5,444,7.6,111,1.9,150,2.6,585,10.0,7,0.1,"2,577",44.3,25,0.4,"1,580",27.1,"1,607",27.6,33,0.6,"1,395",23.5,839,14.2,601,10.1,645,10.9,266,4.5,28,0.5,19,0.3,57,1.0,"2,596",43.8,768,13.0,"1,828",30.9,"3,328",56.2,"3,072",51.9,256,4.3
16,Smithills,E05000666,"6,026",328,5.4,"2,000",33.2,"2,679",44.5,"1,019",16.9,"1,982",32.9,"2,253",37.4,"1,487",24.7,255,4.2,49,0.8,"1,309",21.7,"2,681",44.5,"1,624",27.0,410,6.8,"4,038",67.0,"1,560",25.9,428,7.1,94,1.6,50,0.8,519,8.6,13,0.2,"4,096",68.0,11,0.2,924,15.3,980,16.3,14,0.2,671,10.1,"1,341",20.1,719,10.8,670,10.1,287,4.3,46,0.7,36,0.5,49,0.7,"2,051",30.8,612,9.2,"1,439",21.6,"4,614",69.2,"4,039",60.6,575,8.6
17,Tonge with the Haulgh,E05000667,"5,838",826,14.1,"2,080",35.6,"2,463",42.2,469,8.0,"1,333",22.8,"2,167",37.1,"2,026",34.7,254,4.4,59,1.0,"2,062",35.3,"2,523",43.2,"1,020",17.5,233,4.0,"3,571",61.2,"1,804",30.9,463,7.9,116,2.0,85,1.5,461,7.9,5,0.1,"2,750",47.1,17,0.3,"1,549",26.5,"1,510",25.9,14,0.2,"1,018",17.9,"1,041",18.3,746,13.1,589,10.3,184,3.2,36,0.6,26,0.5,40,0.7,"1,754",30.8,496,8.7,"1,258",22.1,"3,937",69.2,"3,511",61.7,426,7.5
18,Westhoughton North and Chew Moor,E05000668,"6,197",376,6.1,"1,691",27.3,"2,745",44.3,"1,385",22.3,"2,518",40.6,"2,404",38.8,"1,170",18.9,97,1.6,6,0.1,855,13.8,"2,735",44.1,"2,017",32.6,588,9.5,"4,238",68.4,"1,567",25.3,390,6.3,87,1.4,25,0.4,458,7.4,15,0.2,"4,677",75.5,47,0.8,565,9.1,904,14.6,2,0.0,445,6.3,857,12.1,"1,342",19.0,751,10.6,401,5.7,69,1.0,34,0.5,76,1.1,"1,958",27.7,584,8.3,"1,374",19.5,"5,102",72.3,"4,414",62.5,688,9.7
19,Westhoughton South,E05000669,"5,602",359,6.4,"1,597",28.5,"2,404",42.9,"1,240",22.1,"2,103",37.6,"2,171",38.8,"1,205",21.5,106,1.9,15,0.3,998,17.8,"2,211",39.5,"1,817",32.4,574,10.2,"3,637",64.9,"1,548",27.6,415,7.4,49,0.9,32,0.6,403,7.2,15,0.3,"4,028",71.9,21,0.4,931,16.6,613,10.9,7,0.1,500,7.6,655,10.0,"1,324",20.2,681,10.4,394,6.0,68,1.0,30,0.5,57,0.9,"1,723",26.3,543,8.3,"1,180",18.0,"4,824",73.7,"4,196",64.1,628,9.6
20,Besses,E05014152,"4,630",262,5.7,"1,133",24.5,"2,746",59.3,490,10.6,"1,592",34.4,"1,658",35.8,"1,210",26.1,153,3.3,17,0.4,"1,224",26.4,"2,139",46.2,"1,007",21.7,260,5.6,"2,936",63.4,"1,316",28.4,378,8.2,46,1.0,33,0.7,353,7.6,12,0.3,"2,705",58.4,16,0.3,"1,166",25.2,742,16.0,1,0.0,529,10.4,611,12.0,996,19.5,492,9.7,96,1.9,35,0.7,33,0.6,49,1.0,"1,386",27.2,413,8.1,973,19.1,"3,709",72.8,"3,314",65.0,395,7.8
21,Bury East,E05014153,"5,209",715,13.7,"2,456",47.1,"1,574",30.2,464,8.9,796,15.3,"1,894",36.4,"1,969",37.8,424,8.1,125,2.4,"1,898",36.4,"2,283",43.8,823,15.8,207,4.0,"3,288",63.1,"1,508",29.0,412,7.9,121,2.3,85,1.6,452,8.7,29,0.6,"2,377",45.6,25,0.5,"1,394",26.8,"1,399",26.9,15,0.3,"1,125",21.7,682,13.2,563,10.9,704,13.6,134,2.6,26,0.5,42,0.8,57,1.1,"1,687",32.5,541,10.4,"1,146",22.1,"3,499",67.5,"3,149",60.7,350,6.7
22,Bury West,E05014154,"4,643",398,8.6,984,21.2,"2,064",44.5,"1,197",25.8,"2,092",45.1,"1,502",32.3,944,20.3,88,1.9,17,0.4,819,17.6,"1,876",40.4,"1,530",32.9,421,9.1,"3,151",67.9,"1,187",25.6,305,6.6,43,0.9,27,0.6,284,6.1,12,0.3,"3,649",78.6,12,0.3,439,9.5,537,11.6,6,0.1,485,10.0,779,16.0,554,11.4,653,13.4,135,2.8,22,0.5,36,0.7,33,0.7,"1,345",27.6,449,9.2,896,18.4,"3,525",72.4,"3,044",62.5,481,9.9
23,Elton,E05014155,"4,891",258,5.3,"1,616",33.0,"1,896",38.7,"1,125",23.0,"1,764",36.1,"1,889",38.6,"1,083",22.1,145,3.0,12,0.2,976,19.9,"2,098",42.9,"1,445",29.5,374,7.6,"3,285",67.1,"1,270",26.0,338,6.9,54,1.1,27,0.6,397,8.1,10,0.2,"3,456",70.7,9,0.2,543,11.1,871,17.8,11,0.2,721,13.2,855,15.6,636,11.6,780,14.2,156,2.8,30,0.5,29,0.5,50,0.9,"1,461",26.7,405,7.4,"1,056",19.3,"4,015",73.3,"3,510",64.1,505,9.2
24,Holyrood,E05014156,"4,756",336,7.1,941,19.8,"2,606",54.8,871,18.3,"2,047",43.0,"1,635",34.4,939,19.7,114,2.4,23,0.5,948,19.9,"2,226",46.8,"1,275",26.8,307,6.5,"3,233",68.0,"1,182",24.9,338,7.1,78,1.6,29,0.6,294,6.2,7,0.1,"3,495",73.5,14,0.3,436,9.2,804,16.9,6,0.1,440,8.0,486,8.8,"1,135",20.6,475,8.6,108,2.0,53,1.0,49,0.9,44,0.8,"1,489",27.1,482,8.8,"1,007",18.3,"4,011",72.9,"3,494",63.5,517,9.4
25,Moorside (Bury),E05014157,"4,950",685,13.8,"1,909",38.6,"1,857",37.5,499,10.1,"1,120",22.6,"1,751",35.4,"1,748",35.3,266,5.4,66,1.3,"1,611",32.5,"2,140",43.2,955,19.3,245,4.9,"2,991",60.4,"1,549",31.3,409,8.3,75,1.5,54,1.1,471,9.5,7,0.1,"2,671",54.0,43,0.9,"1,113",22.5,"1,105",22.3,18,0.4,830,17.1,753,15.5,552,11.4,645,13.3,138,2.8,37,0.8,21,0.4,29,0.6,"1,553",32.0,450,9.3,"1,103",22.8,"3,295",68.0,"2,939",60.6,356,7.3
26,North Manor,E05014158,"4,214",168,4.0,933,22.1,"1,843",43.7,"1,271",30.2,"2,151",51.0,"1,467",34.8,550,13.1,38,0.9,8,0.2,466,11.1,"1,644",39.0,"1,603",38.0,501,11.9,"2,883",68.4,"1,062",25.2,269,6.4,18,0.4,6,0.1,323,7.7,10,0.2,"3,613",85.8,8,0.2,185,4.4,404,9.6,1,0.0,199,4.5,609,13.9,584,13.3,592,13.5,195,4.4,40,0.9,25,0.6,40,0.9,"1,318",30.0,447,10.2,871,19.8,"3,072",70.0,"2,595",59.1,477,10.9
